word,meaning,partOfSpeech,example,leapPart,leapNumber,tags
agree,①賛成する ②（主語の中で）意見が一致する ③（with ～）（気候，食べ物が）（～に）合う,自動詞,,Part1,1,
oppose,～に反対する,他動詞,,Part1,2,
advise,～に忠告する,他動詞,,Part1,3,
tip,①助言，ヒント ②チップ ③（足や山などの）先，先端（いずれも〈可算〉）,名詞,,Part1,4,
discuss,①～について話し合う，議論する ②～を話題に出す,他動詞,,Part1,5,
blame,～に責任があるとする,他動詞,,Part1,6,
argue,①（that S V）～と主張する ②（with ～）（～と）言い争う,他動詞,,Part1,7,
claim,①（that S V）～と主張する ②～を要求する，主張する ③主張，要求,他動詞,,Part1,8,
complain,①文句を言う，苦情を言う ②（of ～）（病気などを）訴える,自動詞,,Part1,9,
offer,①～を申し出る ②申し出 ③値引き,他動詞,,Part1,10,
suggest,①～を示唆する ②～を提案する,他動詞,,Part1,11,
recommend,～を推薦する，勧める,他動詞,,Part1,12,
grateful,感謝している,形容詞,,Part1,13,
apologize,（to ～）（～に）謝る,自動詞,,Part1,14,
excuse,①言い訳 ②～を許す ③（A from B）（B からA）を免除する,名詞,,Part1,15,
celebrate,①～を祝う ②（儀式など）を挙行する，執り行なう,他動詞,,Part1,16,
admire,～に感心する，称賛する,他動詞,,Part1,17,
impress,～に感銘を与える，～を感心させる,他動詞,,Part1,18,
award,①賞 ②～を授与する,名詞,,Part1,19,
describe,～を説明する,他動詞,,Part1,20,
explain,～を説明する,他動詞,,Part1,21,
communicate,①（with ～）（～と）意思の疎通をはかる ②～を伝える,自動詞,,Part1,22,
express,①（意見，気持ち）を表現する ②急行（列車，バス）,他動詞,,Part1,23,
promise,①約束 ②～を約束する,名詞,,Part1,24,
information,情報〈不可算〉,名詞,,Part1,25,
technology,（科学）技術,名詞,,Part1,26,
research,①（学術）研究 ②～を研究する,名詞,,Part1,27,
material,①材料，生地 ②資料，教材 ③物質的な ④重大な,名詞,,Part1,28,
artificial,人工的な,形容詞,,Part1,29,
electric,電気の，電動の,形容詞,,Part1,30,
invent,①～を発明する ②（話など）をでっち上げる,他動詞,,Part1,31,
discover,①～を発見する ②（that S V）～を知る，～に気がつく ③（知るという意味で）～に出会う,他動詞,,Part1,32,
develop,①発達する ②～を発達させる ③～を開発する ④（話，考え）を発展させる ⑤（病気）にかかる,自動詞,,Part1,33,
skill,技術，力,名詞,,Part1,34,
ability,能力,名詞,,Part1,35,
talent,才能,名詞,,Part1,36,
effort,努力,名詞,,Part1,37,
practice,①練習 ②実践 ③慣習 ④～を練習する ⑤～を実践する,名詞,,Part1,38,
game,①試合，ゲーム〈可算〉 ②獲物〈不可算〉,名詞,,Part1,39,
achieve,～を達成する,他動詞,,Part1,40,
manage,①（to do）何とかして～する ②～を経営する，管理する,他動詞,,Part1,41,
improve,①～を改善する，磨く ②よくなる,他動詞,,Part1,42,
produce,①～を生産する，産出する ②（見せるために）～を取り出す ③農作物〈不可算〉,他動詞,,Part1,43,
